initial,appellate,judges
0,1,"Donavan, Teresa L; Swanwick, Daniel L; Greer, Anne J"
0,1,"Greer, Anne J; O'Connor, Blair; Donovan, Teresa L"
0,1,"Gemoets, Marcos; Creppy Michael J; Liebowitz, Ellen C"
1,0,"Goodwin, Deborah K"
0,1,"Wilson, Earle B. Donovan, Teresa L.; Goodwin, Deborah K."
0,1,"Mann, Ana; Grant, Edward R., Mullane, Hugh G."
0,1,"O'Connor, Blair; Donovan, Teresa L.; Foote, Megan E."
0,1,"Wilson, Earle B.; Swanwick, Daniel L., Goodwin, Deborah K."
0,1,"Mullane, Hugh G.; Mann, Ana; Grant, Edward R."
1,0,"Donovan, Teresa L."
1,0,"Pepper, S. Kathleen"
0,1,"Hunsucker, Keith; Gemoets, Marcos; Morris, Daniel"
0,1,"Goodwin, Deborah K; Donovan, Teresa L.; Wilson, Earle B."
1,0,"Wilson, Earle B."
0,1,"Goodwin, Deborah K; Donovan, Teresa L.; Greer, Anne J."
0,1,"Greer, Anne J.; Swanwick, Daniel L.; Goodwin, Deborah K."
0,1,"Gemoets, Marcos; Hunsucker, Keith; Morris, Daniel"
0,1,"Goodwin, Deborah K; Donovan, Teresa L.; Greer, Anne J."
1,0,"Monsky, Megan Foote"
0,1,"Creppy, Michael J. Liebowitz, Ellen C Morris, Daniel"
0,1,"Grant, Edward R. Mullane, Hugh G. RILEY, KEVIN W."
0,1,"Goodwin, Deborah K. Pepper, S. Kathleen Donovan, Teresa L."
0,1,"Gemoets, Marcos Liebowitz, Ellen C Creppy, Michael J."
0,1,"Goodwin, Deborah K. Donovan, Teresa L. Pepper, S. Kathleen"
0,1,"Wilson, Earle B. Goodwin, Deborah K. Donovan, Teresa L."
0,1,"Greer, Anne J. Donovan, Teresa L. Pepper, S. Kathleen"
1,0,"Pepper, S. Kathleen"
0,1,"Wilson, Earle B. Greer, Anne J. Donovan, Teresa L."
0,1,"O'Connor, Blair Wilson, Earle 8. Donovan, Teresa L."
0,1,"Creppy, Michael J. MONSKY,MEGANFOOTE Hunsucker, Keith"
0,1,"Grant, Edward R. Goodwin, Deborah K. Donovan, Teresa L."
1,0,"MONSKY,MEGANFOOTE"
0,1,"Goodwin, Deborah K. Greer, Anne J. Donovan, Teresa L."
